name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Oma Toos,Dr. Lelykade,3r,2583CL,'s-Gravenhage,,52.0958775,4.2669734,https://www.oma-toos.nl/,https://www.oma-toos.nl/,200,true,osm,https://www.oma-toos.nl/wp-content/uploads/2025/04/ZOMERKAART-2025-NL.pdf,200,true,header
Restaurant The LivingRoom,Bezuidenhoutseweg,53,2594AC,'s-Gravenhage,,52.0825785,4.3240106,https://babylonthelivingroom.nl/,https://babylonthelivingroom.nl/,200,true,osm,https://my.pocketmenu.nl/uploads/files/websites/the-living-room/drink-menu-nleng-06-2025.pdf,200,true,link_text
Wing Wah,,,,,,52.0594744,4.2651664,,,,false,,,,false,
Toko Rientje,,,,,,52.0595356,4.2650730,,,,false,,,,false,
Momiji Ramen,Turfmarkt,228,2511DJ,'s-Gravenhage,,52.0793162,4.3209810,,,,false,,,,false,
De Beren,Guldenlaan,1C,2496XE,'s-Gravenhage,,52.0561602,4.3872607,https://www.beren.nl/vestigingen/den-haag-ypenburg,https://www.beren.nl/vestigingen/den-haag-ypenburg,200,true,osm,https://www.beren.nl/menu,200,true,header
Five-K Comfort Food,Gedempte Gracht,675,2512AM,'s-Gravenhage,,52.0768999,4.3153960,https://www.five-k.nl/,https://www.five-k.nl/,200,true,osm,https://www.five-k.nl/,200,true,header
Ekmekci,Waldorpstraat,27,2521CA,'s-Gravenhage,,52.0688352,4.3221787,https://ekmekci.nl/hollands-spoor/,https://ekmekci.nl/hollands-spoor/,200,true,osm,https://ekmekci.nl/menu2025/,200,true,nav
Oh My Bun!,Gedempte Gracht,677,2512AM,'s-Gravenhage,,52.0769224,4.3154501,https://ohmybun.nl/,https://ohmybun.nl/,200,true,osm,https://ohmybun.nl/menu/,200,true,header
Restaurant Tandir,Betje Wolffstraat,185,2533HM,'s-Gravenhage,,52.0485006,4.2911248,,,,false,,,,false,
Brasserie Amare,Spuiplein,150,2511DG,'s-Gravenhage,,52.0771638,4.3175426,,,,false,,,,false,
Beso by Simonis,Visafslagweg,99,2583DM,'s-Gravenhage,,52.1020816,4.2669445,https://beso-bysimonis.nl/,https://beso-bysimonis.nl/,200,true,osm,https://beso-bysimonis.nl/menu/,200,true,header
Lobi BBQ,Hoefkade,52,2526CA,'s-Gravenhage,,52.0706831,4.3189319,https://www.lobibbq.nl/foodticket/,https://www.lobibbq.nl/foodticket/,200,true,osm,https://www.foodticket.nl/,200,true,footer
Don Don Shabu,Bezemstraat,7,2512ZZ,'s-Gravenhage,,52.0763205,4.3147706,https://www.dondonshabu.com/,https://www.dondonshabu.com/,200,true,osm,https://www.dondonshabu.com/,200,true,header
Sumo,,,,,,52.1138709,4.2822862,https://www.restaurantsumo.com/sumo-sushi-scheveningen/,https://www.restaurantsumo.com/sumo-sushi-scheveningen/,200,true,osm,https://www.restaurantsumo.com/menu/,200,true,header
Restaurant,,,,,,52.0550894,4.2134966,,,,false,,,,false,
Z'AHA,Goudsbloemlaan,142,2565CW,'s-Gravenhage,,52.0766531,4.2590955,https://www.zahadeli.nl/,https://www.zahadeli.nl/,200,true,osm,https://www.zahadeli.nl/restaurant-menu,200,true,nav
Blow,Zuiderstrand,22,,'s-Gravenhage,,52.0588971,4.2029572,https://blow.surf/,https://blow.surf/,200,true,osm,https://blow.surf/restaurant/,200,true,nav
Otrobanda,Strandslag,1,,'s-Gravenhage,,52.0595617,4.2039683,https://otrobanda.nl/,https://otrobanda.nl/,200,true,osm,https://otrobanda.nl/menu/,200,true,header
Wagamama,,,,,,52.0695148,4.2209205,,,,false,,,,false,
EVE,Strandweg,180,2586JW,'s-Gravenhage,,52.1176971,4.2864744,https://eve-scheveningen.nl/,https://eve-scheveningen.nl/,200,true,osm,https://eve-scheveningen.nl/menu,200,true,nav
Kitty’s Corner,,,,,,52.0761585,4.2748556,,,,false,,,,false,
Momiji Ramen,Gedempte Gracht,397,2512AM,'s-Gravenhage,,52.0763577,4.3142734,https://momiji-ramen.nl/nl,https://momiji-ramen.nl/nl,200,true,osm,https://momiji-ramen.nl/nl/menu,200,true,nav
Il Peperoncino Trattoria,Frederik Hendriklaan,127,,,,52.0922825,4.2752956,,,,false,,,,false,
Paviljoen,,,,,,52.0553337,4.3495886,https://www.drievliet.nl/attraction-detail-1/paviljoen-drievliet,https://www.drievliet.nl/attraction-detail-1/paviljoen-drievliet,200,true,osm,,,false,
El Bar,,,,,,52.0836299,4.3044588,,,,false,,,,false,
Mei,,,,,,52.0542306,4.3501317,https://www.drievliet.nl/attraction-detail-1/mei-1,https://www.drievliet.nl/attraction-detail-1/mei-1,200,true,osm,,,false,
Bohica,,,,,,52.0816263,4.3259065,,,,false,,,,false,
Frida Mexican Food,,,,,,52.0816517,4.3260026,,,,false,,,,false,
The Martabak House,,,,,,52.0817208,4.3258800,https://themartabakhouse.nl/password,https://themartabakhouse.nl/password,200,true,osm,https://themartabakhouse.nl/password,200,true,slug
Aroi Soi 9 Lime Leaf & Red Pepper,,,,,,52.0816595,4.3257502,https://www.limeleafandredpepper.nl/,https://www.limeleafandredpepper.nl/,200,true,osm,https://www.limeleafandredpepper.nl/menu/,200,true,nav
Poké Central,,,,,,52.0815996,4.3260413,https://www.pokecentral.nl/home,https://www.pokecentral.nl/home,200,true,osm,https://www.pokecentral.nl/menu,200,true,header
The Shore Scheveningen,Strand Noord,2A,2586ZZ,'s-Gravenhage,,52.1025228,4.2635999,https://surfles.nl/,https://surfles.nl/,200,true,osm,,,false,
Wokrestaurant Rosarium Westbroekpark,Kapelweg,35,2587BK,'s-Gravenhage,,52.1054970,4.2904300,https://westbroekpark.nl/,https://westbroekpark.nl/,200,true,osm,https://westbroekpark.nl/klantenkaart/,200,true,header
Toko Ming Kee,Bezemstraat,7,2512ZZ,'s-Gravenhage,,52.0762866,4.3146984,,,,false,,,,false,
Taste of Suriname,,,,,,52.0816068,4.3256391,https://www.bistroo.nl/den-haag/restaurants/taste-of-suriname/,https://www.bistroo.nl/den-haag/restaurants/taste-of-suriname/,200,true,osm,https://www.bistroo.nl/,200,true,slug
La Cocina de Aminta,Zoutmanstraat,10A,2518GP,'s-Gravenhage,,52.0810622,4.2959379,,,,false,,,,false,
K-Bunsik,Fluwelen Burgwal,2,2511CJ,'s-Gravenhage,,52.0801375,4.3185443,,,,false,,,,false,
Jolie Café Manger,,,,,,52.0812380,4.3169737,https://joliecafemanger.nl/,https://joliecafemanger.nl/,200,true,osm,https://joliecafemanger.nl/menu/,200,true,header
The Court,Groenewegje,115,2515LP,'s-Gravenhage,,52.0731256,4.3156729,,,,false,,,,false,
Panorama Café,,,,,,52.0992782,4.2959249,,,,false,,,,false,
Jasmine Palace,,,,,,52.0665358,4.2446849,,,,false,,,,false,
